           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         13          0       8.56720E+02  1.36958E-04
         14          0       8.58780E+02  1.12974E-03
         17          0       9.02950E+02  5.48100E-05
          8         10       2.72800E+01  2.71286E-02
          8         11       7.49600E+01  1.79867E-02
          8         12       8.76700E+01  1.04918E-01
          8         13       1.65810E+02  1.29951E-02
          8         14       1.67870E+02  9.54389E-03
          8         17       2.12040E+02  2.91347E-03
          8         18       2.23300E+02  1.72128E-03
          8         19       2.24690E+02  8.10935E-03
          9         10       4.06700E+01  1.15746E-01
          9         11       8.83500E+01  1.19367E-01
          9         12       1.01060E+02  2.34124E-01
          9         13       1.79200E+02  5.07807E-02
          9         14       1.81260E+02  8.44980E-02
          9         17       2.25430E+02  1.65062E-02
          9         18       2.36690E+02  1.15884E-02
          9         19       2.38080E+02  2.01376E-02
         10         10       5.09820E+02  8.03028E-04
         10         11       5.57500E+02  1.17422E-03
         10         12       5.70210E+02  1.70023E-02
         10         13       6.48350E+02  9.86782E-04
         10         14       6.50410E+02  1.07868E-03
         10         17       6.94580E+02  1.81922E-04
         10         18       7.05840E+02  1.01989E-04
         10         19       7.07230E+02  1.18526E-03
         11         11       6.05180E+02  1.90674E-04
         11         12       6.17890E+02  1.91487E-02
         11         13       6.96030E+02  5.25034E-04
         11         14       6.98090E+02  3.02399E-03
         11         17       7.42260E+02  1.19748E-04
         11         18       7.53520E+02  3.13178E-05
         11         19       7.54910E+02  1.34947E-03
         12         12       6.30600E+02  2.48295E-02
         12         13       7.08740E+02  3.10231E-02
         12         14       7.10800E+02  4.22075E-02
         12         17       7.54970E+02  2.09267E-03
         12         18       7.66230E+02  1.71438E-03
         12         19       7.67620E+02  4.14942E-03
         13         13       7.86880E+02  1.73248E-04
         13         14       7.88940E+02  2.00734E-03
         13         17       8.33110E+02  6.17858E-05
         13         18       8.44370E+02  2.42287E-05
         13         19       8.45760E+02  1.61491E-03
         14         14       7.91000E+02  9.72047E-04
         14         17       8.35170E+02  5.77792E-05
         14         18       8.46430E+02  1.14100E-04
         14         19       8.47820E+02  1.74981E-03
         17         17       8.79340E+02  6.23866E-06
         17         18       8.90600E+02  6.23866E-06
         17         19       8.91990E+02  9.25395E-05
         18         18       9.01860E+02  5.19899E-07
         18         19       9.03250E+02  7.69443E-05
         19         19       9.04640E+02  1.06347E-04
 
           8 - subshell number
           8 - subshell index
   M4(3d3/2) - subshell label
  6.8900E+02 - subshell binding energy (eV)
           4 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         11          0       5.30220E+02  1.78220E-03
         12          0       5.42930E+02  2.81619E-04
         18          0       6.78560E+02  1.93170E-04
         19          0       6.79950E+02  2.92809E-05
          9         18       1.04000E+00  4.09385E-03
          9         19       2.43000E+00  1.28221E-02
         10         10       2.74170E+02  3.20525E-05
         10         11       3.21850E+02  5.84296E-03
         10         12       3.34560E+02  4.72560E-03
         10         13       4.12700E+02  1.12367E-01
         10         14       4.14760E+02  1.60132E-02
         10         17       4.58930E+02  2.74744E-05
         10         18       4.70190E+02  4.71648E-04
         10         19       4.71580E+02  2.79329E-04
         11         11       3.69530E+02  1.85929E-03
         11         12       3.82240E+02  1.73555E-02
         11         13       4.60380E+02  8.96346E-02
         11         14       4.62440E+02  7.88559E-03
         11         17       5.06610E+02  4.12136E-04
         11         18       5.17870E+02  3.34284E-04
         11         19       5.19260E+02  1.26839E-03
         12         12       3.94950E+02  6.74057E-03
         12         13       4.73090E+02  1.98079E-01
         12         14       4.75150E+02  7.60596E-03
         12         17       5.19320E+02  4.12125E-04
         12         18       5.30580E+02  1.30510E-03
         12         19       5.31970E+02  9.57042E-04
         13         13       5.51230E+02  1.49771E-01
         13         14       5.53290E+02  3.07974E-01
         13         17       5.97460E+02  1.42057E-02
         13         18       6.08720E+02  9.07857E-03
         13         19       6.10110E+02  1.86393E-02
         14         14       5.55350E+02  5.08743E-03
         14         17       5.99520E+02  1.12651E-03
         14         18       6.10780E+02  5.44925E-04
         14         19       6.12170E+02  5.90719E-04
         17         18       6.54950E+02  3.92614E-05
         17         19       6.56340E+02  2.18115E-05
         18         18       6.66210E+02  9.01829E-06
         18         19       6.67600E+02  6.61355E-05
         19         19       6.68990E+02  3.41659E-05
 
           9 - subshell number
           9 - subshell index
   M5(3d5/2) - subshell label
  6.7640E+02 - subshell binding energy (eV)
           6 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         12          0       5.29540E+02  1.93632E-03
         19          0       6.66560E+02  2.01152E-04
         10         10       2.60780E+02  1.13937E-04
         10         11       3.08460E+02  2.52951E-03
         10         12       3.21170E+02  9.01947E-03
         10         13       3.99310E+02  1.19188E-02
         10         14       4.01370E+02  1.19627E-01
         10         17       4.45540E+02  3.64612E-05
         10         18       4.56800E+02  1.18499E-04
         10         19       4.58190E+02  6.38066E-04
         11         12       3.68850E+02  1.72470E-02
         11         13       4.46990E+02  1.31261E-03
         11         14       4.49050E+02  1.11266E-01
         11         17       4.93220E+02  1.91427E-04
         11         19       5.05870E+02  1.24424E-03
         12         12       3.81560E+02  1.29165E-02
         12         13       4.59700E+02  1.02452E-02
         12         14       4.61760E+02  1.83561E-01
         12         17       5.05930E+02  7.24691E-04
         12         18       5.17190E+02  1.22158E-03
         12         19       5.18580E+02  1.92336E-03
         13         13       5.37840E+02  2.08757E-03
         13         14       5.39900E+02  2.15467E-01
         13         17       5.84070E+02  8.29510E-04
         13         18       5.95330E+02  1.27618E-04
         13         19       5.96720E+02  7.11026E-04
         14         14       5.41960E+02  2.49282E-01
         14         17       5.86130E+02  1.47626E-02
         14         18       5.97390E+02  1.09521E-02
         14         19       5.98780E+02  1.75069E-02
         17         18       6.41560E+02  1.18340E-05
         17         19       6.42950E+02  7.10049E-05
         18         19       6.54210E+02  9.12910E-05
         19         19       6.55600E+02  1.07371E-04
 
          10 - subshell number
          10 - subshell index
   N1(4s1/2) - subshell label
  2.1320E+02 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         11          0       4.76800E+01  1.12457E-05
         12          0       6.03900E+01  4.28906E-05
         18          0       1.96020E+02  9.46397E-06
         19          0       1.97410E+02  9.08276E-06
         11         17       2.40700E+01  8.32736E-02
         11         18       3.53300E+01  5.06202E-02
         11         19       3.67200E+01  1.15048E-01
         12         17       3.67800E+01  1.24769E-01
         12         18       4.80400E+01  1.08354E-01
         12         19       4.94300E+01  1.48959E-01
         13         13       6.86900E+01  5.96540E-03
         13         14       7.07500E+01  8.80750E-02
         13         17       1.14920E+02  3.13400E-02
         13         18       1.26180E+02  4.16902E-03
         13         19       1.27570E+02  2.04515E-02
         14         14       7.28100E+01  3.23010E-02
         14         17       1.16980E+02  4.78604E-02
         14         18       1.28240E+02  1.85678E-02
         14         19       1.29630E+02  1.82116E-02
         17         17       1.61150E+02  1.40408E-02
         17         18       1.72410E+02  1.47300E-02
         17         19       1.73800E+02  2.57576E-02
         18         18       1.83670E+02  5.04777E-03
         18         19       1.85060E+02  2.36544E-02
         19         19       1.86450E+02  1.87311E-02
 
          11 - subshell number
          11 - subshell index
   N2(4p1/2) - subshell label
  1.5700E+02 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         13          0       9.08500E+01  9.16709E-05
         17          0       1.37080E+02  1.24890E-05
         12         18       3.60000E-01  3.19292E-03
         12         19       1.75000E+00  4.70697E-03
         13         13       2.10100E+01  1.61182E-01
         13         14       2.30700E+01  7.42342E-01
         13         17       6.72400E+01  1.60252E-02
         13         18       7.85000E+01  1.02080E-02
         13         19       7.98900E+01  2.03822E-02
         14         14       2.51300E+01  2.54467E-02
         14         17       6.93000E+01  2.20325E-03
         14         18       8.05600E+01  1.01669E-02
         14         19       8.19500E+01  2.24012E-03
         17         17       1.13470E+02  2.20759E-05
         17         18       1.24730E+02  5.74488E-04
         17         19       1.26120E+02  7.19851E-05
         18         18       1.35990E+02  2.84313E-04
         18         19       1.37380E+02  8.18786E-04
         19         19       1.38770E+02  2.82610E-05
 
          12 - subshell number
          12 - subshell index
   N3(4p3/2) - subshell label
  1.4550E+02 - subshell binding energy (eV)
           4 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         13          0       7.81400E+01  2.29319E-06
         14          0       8.02000E+01  2.38608E-05
         17          0       1.24370E+02  4.75907E-06
         13         13       8.30000E+00  5.80238E-02
         13         14       1.03600E+01  2.94546E-01
         13         17       5.45300E+01  2.49165E-03
         13         18       6.57900E+01  1.75630E-03
         13         19       6.71800E+01  7.61009E-03
         14         14       1.24200E+01  5.89073E-01
         14         17       5.65900E+01  1.36657E-02
         14         18       6.78500E+01  1.20733E-02
         14         19       6.92400E+01  1.94638E-02
         17         17       1.00760E+02  1.55220E-06
         17         18       1.12020E+02  3.34235E-05
         17         19       1.13410E+02  6.11640E-04
         18         18       1.23280E+02  3.16997E-06
         18         19       1.24670E+02  2.52438E-04
         19         19       1.26060E+02  3.63168E-04
 
          13 - subshell number
          13 - subshell index
   N4(4d3/2) - subshell label
  6.9500E+01 - subshell binding energy (eV)
           4 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         18          0       5.74900E+01  4.44001E-07
         19          0       5.88800E+01  7.59381E-08
         17         17       2.26200E+01  3.25078E-01
         17         18       3.38800E+01  7.75770E-02
         17         19       3.52700E+01  4.66254E-02
         18         18       4.51400E+01  1.50101E-01
         18         19       4.65300E+01  3.16940E-01
         19         19       4.79200E+01  8.36781E-02
 
          14 - subshell number
          14 - subshell index
   N5(4d5/2) - subshell label
  6.7500E+01 - subshell binding energy (eV)
           6 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
         19          0       5.68200E+01  5.35970E-07
         17         17       2.05600E+01  3.68057E-01
         17         18       3.18200E+01  6.75438E-02
         17         19       3.32100E+01  1.00209E-01
         18         18       4.30800E+01  2.62920E-02
         18         19       4.44700E+01  1.90988E-01
         19         19       4.58600E+01  2.46910E-01
 
          15 - subshell number
          17 - subshell index
   O1(5s1/2) - subshell label
  2.3390E+01 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
          16 - subshell number
          18 - subshell index
   O2(5p1/2) - subshell label
  1.3430E+01 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
          17 - subshell number
          19 - subshell index
   O3(5p3/2) - subshell label
  1.2130E+01 - subshell binding energy (eV)
           4 - number of electrons when neutral
