           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          3          0       3.13000E+02  1.98398E-05
          4          0       6.42200E+02  3.73327E-04
          6          0       4.42743E+03  1.38829E-02
          7          0       4.49034E+03  2.18758E-02
          8          0       4.72599E+03  2.06838E-04
          9          0       4.73938E+03  3.08777E-04
         11          0       5.25621E+03  2.99258E-03
         12          0       5.26892E+03  4.83886E-03
         13          0       5.34706E+03  2.51578E-05
         14          0       5.34912E+03  3.82137E-05
         18          0       5.40455E+03  3.40147E-04
         19          0       5.40594E+03  5.28266E-04
          3         10       1.04630E+02  5.69431E-02
          3         11       1.52310E+02  4.06576E-02
          3         12       1.65020E+02  5.15253E-02
          3         13       2.43160E+02  1.31854E-02
          3         14       2.45220E+02  2.18037E-02
          3         17       2.89390E+02  7.77756E-03
          3         18       3.00650E+02  3.96775E-03
          3         19       3.02040E+02  4.77790E-03
          4         10       4.33830E+02  7.43055E-02
          4         11       4.81510E+02  3.23640E-02
          4         12       4.94220E+02  6.09524E-02
          4         13       5.72360E+02  6.22297E-02
          4         14       5.74420E+02  8.00767E-02
          4         17       6.18590E+02  1.02309E-02
          4         18       6.29850E+02  3.22316E-03
          4         19       6.31240E+02  5.81492E-03
          5          5       3.17290E+03  1.34704E-02
          5          6       3.30543E+03  2.67210E-02
          5          7       3.36834E+03  4.93433E-02
          5          8       3.60399E+03  3.87315E-02
          5          9       3.61738E+03  5.46919E-02
          5         10       4.08653E+03  4.95078E-03
          5         11       4.13421E+03  5.29200E-03
          5         12       4.14692E+03  9.69018E-03
          5         13       4.22506E+03  5.94375E-03
          5         14       4.22712E+03  8.34214E-03
          5         17       4.27129E+03  6.89327E-04
          5         18       4.28255E+03  5.44942E-04
          5         19       4.28394E+03  9.47105E-04
          6          6       3.43796E+03  1.55808E-04
          6          7       3.50087E+03  9.80531E-04
          6          8       3.73652E+03  1.09226E-03
          6          9       3.74991E+03  1.43276E-02
          6         10       4.21906E+03  3.95236E-03
          6         11       4.26674E+03  3.26282E-05
          6         12       4.27945E+03  1.81912E-04
          6         13       4.35759E+03  1.68037E-04
          6         14       4.35965E+03  1.47329E-03
          6         17       4.40382E+03  5.26152E-04
          6         18       4.41508E+03  3.26282E-06
          6         19       4.41647E+03  1.79464E-05
          7          7       3.56378E+03  1.15513E-03
          7          8       3.79943E+03  9.88891E-03
          7          9       3.81282E+03  6.71326E-03
          7         10       4.28197E+03  7.29570E-03
          7         11       4.32965E+03  1.82737E-04
          7         12       4.34236E+03  3.46720E-04
          7         13       4.42050E+03  8.84304E-04
          7         14       4.42256E+03  6.19996E-04
          7         17       4.46673E+03  9.71613E-04
          7         18       4.47799E+03  1.87633E-05
          7         19       4.47938E+03  3.26303E-05
          8          8       4.03508E+03  2.11287E-03
          8          9       4.04847E+03  7.75065E-02
          8         10       4.51762E+03  5.42578E-03
          8         11       4.56530E+03  2.81438E-04
          8         12       4.57801E+03  1.96689E-03
          8         13       4.65615E+03  6.43642E-04
          8         14       4.65821E+03  8.78828E-03
          8         17       4.70238E+03  7.17055E-04
          8         18       4.71364E+03  3.01835E-05
          8         19       4.71503E+03  1.92525E-04
          9          9       4.06186E+03  2.17703E-02
          9         10       4.53101E+03  7.70643E-03
          9         11       4.57869E+03  2.59329E-03
          9         12       4.59140E+03  1.40068E-03
          9         13       4.66954E+03  8.70981E-03
          9         14       4.67160E+03  5.15306E-03
          9         17       4.71577E+03  1.01963E-03
          9         18       4.72703E+03  2.63493E-04
          9         19       4.72842E+03  1.37862E-04
         10         10       5.00016E+03  4.32375E-04
         10         11       5.04784E+03  7.84776E-04
         10         12       5.06055E+03  1.43573E-03
         10         13       5.13869E+03  8.30437E-04
         10         14       5.14075E+03  1.17056E-03
         10         17       5.18492E+03  1.19103E-04
         10         18       5.19618E+03  8.07632E-05
         10         19       5.19757E+03  1.40313E-04
         11         11       5.09552E+03  1.63148E-06
         11         12       5.10823E+03  3.42610E-05
         11         13       5.18637E+03  3.67101E-05
         11         14       5.18843E+03  2.74906E-04
         11         17       5.23260E+03  1.04424E-04
         11         19       5.24525E+03  3.26296E-06
         12         12       5.12094E+03  2.74199E-05
         12         13       5.19908E+03  1.95369E-04
         12         14       5.20114E+03  1.43096E-04
         12         17       5.24531E+03  2.00512E-04
         12         18       5.25657E+03  3.42744E-06
         12         19       5.25796E+03  5.14125E-06
         13         13       5.27722E+03  4.95404E-05
         13         14       5.27928E+03  1.11855E-03
         13         17       5.32345E+03  1.16462E-04
         13         18       5.33471E+03  4.34560E-06
         13         19       5.33610E+03  1.99905E-05
         14         14       5.28134E+03  3.50437E-04
         14         17       5.32551E+03  1.69423E-04
         14         18       5.33677E+03  3.03172E-05
         14         19       5.33816E+03  1.51580E-05
         17         17       5.36968E+03  7.76019E-06
         17         18       5.38094E+03  1.00891E-05
         17         19       5.38233E+03  1.78484E-05
 
           3 - subshell number
           3 - subshell index
   L2(2p1/2) - subshell label
  5.1072E+03 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          4          0       3.29200E+02  7.04308E-08
          5          0       3.98190E+03  4.02949E-03
          7          0       4.17734E+03  5.82469E-05
          8          0       4.41299E+03  7.49118E-02
         10          0       4.89553E+03  5.74889E-04
         12          0       4.95592E+03  7.20318E-06
         13          0       5.03406E+03  1.11830E-02
         17          0       5.08029E+03  6.89998E-05
         19          0       5.09294E+03  7.86878E-07
          4         10       1.20830E+02  1.18029E-02
          4         11       1.68510E+02  5.17412E-02
          4         12       1.81220E+02  1.78166E-02
          4         13       2.59360E+02  6.41393E-02
          4         14       2.61420E+02  2.38654E-02
          4         17       3.05590E+02  1.50864E-03
          4         18       3.16850E+02  5.09719E-03
          4         19       3.18240E+02  1.72846E-03
          5          5       2.85990E+03  1.06054E-03
          5          6       2.99243E+03  2.55320E-02
          5          7       3.05534E+03  2.44630E-03
          5          8       3.29099E+03  1.93866E-03
          5          9       3.30438E+03  3.44740E-03
          5         10       3.77353E+03  3.62792E-04
          5         11       3.82121E+03  3.49728E-03
          5         12       3.83392E+03  4.28047E-04
          5         13       3.91206E+03  2.14985E-04
          5         14       3.91412E+03  3.33025E-04
          5         17       3.95829E+03  4.99075E-05
          5         18       3.96955E+03  3.39753E-04
          5         19       3.97094E+03  4.12702E-05
          6          6       3.12496E+03  2.50355E-02
          6          7       3.18787E+03  7.82246E-02
          6          8       3.42352E+03  4.14630E-02
          6          9       3.43691E+03  7.09763E-02
          6         10       3.90606E+03  5.59516E-03
          6         11       3.95374E+03  8.52327E-03
          6         12       3.96645E+03  1.51001E-02
          6         13       4.04459E+03  6.34856E-03
          6         14       4.04665E+03  1.08434E-02
          6         17       4.09082E+03  7.98467E-04
          6         18       4.10208E+03  8.59909E-04
          6         19       4.10347E+03  1.47120E-03
          7          7       3.25078E+03  2.05088E-03
          7          8       3.48643E+03  4.88211E-02
          7          9       3.49982E+03  6.63360E-03
          7         10       3.96897E+03  4.60667E-04
          7         11       4.01665E+03  1.11101E-02
          7         12       4.02936E+03  6.70842E-04
          7         13       4.10750E+03  6.46296E-03
          7         14       4.10956E+03  8.20570E-04
          7         17       4.15373E+03  6.43017E-05
          7         18       4.16499E+03  1.08546E-03
          7         19       4.16638E+03  6.33423E-05
          8          8       3.72208E+03  4.44831E-02
          8          9       3.73547E+03  1.90970E-01
          8         10       4.20462E+03  4.34745E-04
          8         11       4.25230E+03  5.87078E-03
          8         12       4.26501E+03  8.90828E-03
          8         13       4.34315E+03  1.17156E-02
          8         14       4.34521E+03  2.68071E-02
          8         17       4.38938E+03  6.23823E-05
          8         18       4.40064E+03  5.76810E-04
          8         19       4.40203E+03  8.60891E-04
          9          9       3.74886E+03  9.10198E-03
          9         10       4.21801E+03  6.40165E-04
          9         11       4.26569E+03  8.99930E-03
          9         12       4.27840E+03  1.10941E-03
          9         13       4.35654E+03  2.14914E-02
          9         14       4.35860E+03  2.33408E-03
          9         17       4.40277E+03  8.92559E-05
          9         18       4.41403E+03  8.63778E-04
          9         19       4.41542E+03  1.05571E-04
         10         10       4.68716E+03  3.27322E-05
         10         11       4.73484E+03  8.20343E-04
         10         12       4.74755E+03  8.59216E-05
         10         13       4.82569E+03  5.01198E-05
         10         14       4.82775E+03  6.75094E-05
         10         17       4.87192E+03  9.20597E-06
         10         18       4.88318E+03  7.97825E-05
         10         19       4.88457E+03  8.18317E-06
         11         11       4.78252E+03  6.72093E-04
         11         12       4.79523E+03  2.07285E-03
         11         13       4.87337E+03  8.56570E-04
         11         14       4.87543E+03  1.33677E-03
         11         17       4.91960E+03  1.06605E-04
         11         18       4.93086E+03  1.34415E-04
         11         19       4.93225E+03  2.02088E-04
         12         12       4.80794E+03  5.68419E-05
         12         13       4.88608E+03  1.21422E-03
         12         14       4.88814E+03  1.44067E-04
         12         17       4.93231E+03  1.17613E-05
         12         18       4.94357E+03  2.14626E-04
         12         19       4.94496E+03  1.07805E-05
         13         13       4.96422E+03  8.05787E-04
